j1p4,j1p4,j1p4,j1p4,j2p4,j2p4,j2p4,j2p4,j3p4,j3p4,j3p4,j3p4,dR12,dR13,dR23,j1btag,j2btag,j3btag,j1area,j2area,j3area
pt,phi,eta,mass,pt,phi,eta,mass,pt,phi,eta,mass,,,,,,,,,
128.625,2.8823242,0.057167053,13.0078125,36.90625,-1.9697266,0.15283203,5.8007812,33.4375,-2.2612305,-0.6951904,5.8007812,1.4343282,1.3655766,0.8967255,0.8720703,0.8720703,0.8720703,0.50878906,0.5185547,0.5185547
88.625,0.64160156,-0.6800537,9.2421875,60.5625,-1.213623,-2.3725586,10.0625,36.90625,-1.9697266,0.15283203,10.0625,2.511261,2.7409368,2.6361506,0.4404297,0.4404297,0.4404297,0.5288086,0.46875,0.5185547
88.625,0.64160156,-0.6800537,9.2421875,60.5625,-1.213623,-2.3725586,10.0625,33.4375,-2.2612305,-0.6951904,10.0625,2.511261,2.9028718,1.9776365,0.4404297,0.4404297,0.4404297,0.5288086,0.46875,0.5185547
88.625,0.64160156,-0.6800537,9.2421875,36.90625,-1.9697266,0.15283203,5.8007812,33.4375,-2.2612305,-0.6951904,5.8007812,2.7409368,2.9028718,0.8967255,0.4404297,0.4404297,0.4404297,0.5288086,0.5185547,0.5185547
60.5625,-1.213623,-2.3725586,10.0625,36.90625,-1.9697266,0.15283203,5.8007812,33.4375,-2.2612305,-0.6951904,5.8007812,2.6361506,1.9776365,0.8967255,0.1239624,0.1239624,0.1239624,0.46875,0.5185547,0.5185547
188.125,-2.7128906,0.59887695,20.28125,172.375,0.56481934,-0.09101868,35.6875,49.375,-0.508667,0.9367676,35.6875,3.0836403,2.2299714,1.4861757,0.15808105,0.15808105,0.15808105,0.48876953,0.62841797,0.5288086
188.125,-2.7128906,0.59887695,20.28125,172.375,0.56481934,-0.09101868,35.6875,44.125,1.2810059,1.0395508,35.6875,3.0836403,2.3313165,1.3383237,0.15808105,0.15808105,0.15808105,0.48876953,0.62841797,0.50878906
188.125,-2.7128906,0.59887695,20.28125,172.375,0.56481934,-0.09101868,35.6875,35.4375,-1.4033203,-1.2636719,35.6875,3.0836403,2.2768536,2.291002,0.15808105,0.15808105,0.15808105,0.48876953,0.62841797,0.50878906
188.125,-2.7128906,0.59887695,20.28125,49.375,-0.508667,0.9367676,7.3828125,44.125,1.2810059,1.0395508,7.3828125,2.2299714,2.3313165,1.792622,0.15808105,0.15808105,0.15808105,0.48876953,0.5288086,0.50878906
188.125,-2.7128906,0.59887695,20.28125,49.375,-0.508667,0.9367676,7.3828125,35.4375,-1.4033203,-1.2636719,7.3828125,2.2299714,2.2768536,2.3753607,0.15808105,0.15808105,0.15808105,0.48876953,0.5288086,0.50878906
188.125,-2.7128906,0.59887695,20.28125,44.125,1.2810059,1.0395508,8.796875,35.4375,-1.4033203,-1.2636719,8.796875,2.3313165,2.2768536,3.5370104,0.15808105,0.15808105,0.15808105,0.48876953,0.50878906,0.50878906
172.375,0.56481934,-0.09101868,35.6875,49.375,-0.508667,0.9367676,7.3828125,44.125,1.2810059,1.0395508,7.3828125,1.4861757,1.3383237,1.792622,0.13769531,0.13769531,0.13769531,0.62841797,0.5288086,0.50878906
172.375,0.56481934,-0.09101868,35.6875,49.375,-0.508667,0.9367676,7.3828125,35.4375,-1.4033203,-1.2636719,7.3828125,1.4861757,2.291002,2.3753607,0.13769531,0.13769531,0.13769531,0.62841797,0.5288086,0.50878906
172.375,0.56481934,-0.09101868,35.6875,44.125,1.2810059,1.0395508,8.796875,35.4375,-1.4033203,-1.2636719,8.796875,1.3383237,2.291002,3.5370104,0.13769531,0.13769531,0.13769531,0.62841797,0.50878906,0.50878906
49.375,-0.508667,0.9367676,7.3828125,44.125,1.2810059,1.0395508,8.796875,35.4375,-1.4033203,-1.2636719,8.796875,1.792622,2.3753607,3.5370104,0.84765625,0.84765625,0.84765625,0.5288086,0.50878906,0.50878906
127.5,0.45794678,-0.17602539,17.5625,93.25,-2.9125977,-0.09046936,15.4375,71.125,1.095459,-0.33428955,15.4375,2.913897,0.6568633,2.288156,0.9589844,0.9589844,0.9589844,0.48876953,0.5288086,0.44873047
127.5,0.45794678,-0.17602539,17.5625,93.25,-2.9125977,-0.09046936,15.4375,57.46875,-1.4206543,-0.6711426,15.4375,2.913897,1.9427516,1.6009611,0.9589844,0.9589844,0.9589844,0.48876953,0.5288086,0.48876953
127.5,0.45794678,-0.17602539,17.5625,93.25,-2.9125977,-0.09046936,15.4375,38.6875,-0.5720215,0.46832275,15.4375,2.913897,1.2149155,2.4063551,0.9589844,0.9589844,0.9589844,0.48876953,0.5288086,0.47875977
127.5,0.45794678,-0.17602539,17.5625,71.125,1.095459,-0.33428955,11.171875,57.46875,-1.4206543,-0.6711426,11.171875,0.6568633,1.9427516,2.538562,0.9589844,0.9589844,0.9589844,0.48876953,0.44873047,0.48876953
